Date,AAPL,MSFT,TLT,VNQ,SPY
2020-09-04,117.65994262695312,205.4283447265625,141.1439208984375,67.67594909667969,318.97320556640625
2020-09-08,109.74201202392578,194.31553649902344,142.01126098632812,66.84960174560547,310.2578430175781
2020-09-09,114.11924743652344,202.5902404785156,141.62960815429688,67.51067352294922,316.3846740722656
2020-09-10,110.39373016357422,196.91395568847656,142.3494415283203,66.68435668945312,310.8910522460937
2020-09-11,108.94440460205078,195.629135131836,142.65301513671875,66.31248474121094,311.04931640625
2020-09-14,112.21272277832033,196.9523162841797,142.64431762695312,67.93209838867188,315.1462707519531
2020-09-15,112.38780975341795,200.18356323242188,142.29742431640625,68.7501449584961,316.7384338378906
2020-09-16,109.07085418701172,196.607162475586,141.87246704101562,69.1137466430664,315.4814147949219
2020-09-17,107.32968139648438,194.5552520751953,142.3061065673828,67.7668228149414,312.7066650390625
2020-09-18,103.9251708984375,192.1390380859375,141.86378479003906,66.23814392089844,309.106689453125
2020-09-21,107.07677459716795,194.2005157470703,142.58367919921875,64.2466812133789,305.6664733886719
2020-09-22,108.75958251953124,198.87957763671875,142.47096252441406,65.01516723632812,308.7794494628906
2020-09-23,104.1975326538086,192.33078002929688,142.6616668701172,63.05678939819336,301.6184997558594
2020-09-24,105.2675323486328,194.82374572753903,143.20814514160156,63.39558029174805,302.42242431640625
2020-09-25,109.21674346923828,199.2630920410156,143.20814514160156,64.70294189453125,307.31170654296875
2020-09-28,111.82364654541016,200.81640625,142.80047607421875,66.02700805664062,312.4159240722656
2020-09-29,110.97737121582033,198.7261657714844,142.9652862548828,65.5523452758789,310.71466064453125
2020-09-30,112.65042877197266,201.66973876953125,141.5950164794922,65.75218200683594,313.0704040527344
2020-10-01,113.60369873046876,203.7120819091797,141.82843017578125,67.06790161132812,315.0802917480469
2020-10-02,109.93655395507812,197.7001800537109,141.29884338378906,68.22538757324219,312.0887756347656
2020-10-05,113.3216323852539,201.7176818847656,138.53797912597656,68.61677551269531,317.623046875
2020-10-06,110.07276153564452,197.4317626953125,139.28465270996094,68.16709899902344,313.1077880859375
2020-10-07,111.94037628173828,201.1903381347656,138.26885986328125,68.26703643798828,318.5578918457031
2020-10-08,111.83335876464844,201.90945434570312,139.0154571533203,69.40787506103516,321.38116455078125
2020-10-09,113.7787857055664,206.92410278320312,138.98947143554688,69.13306427001953,324.2511291503906
2020-10-12,121.006103515625,212.2839813232422,139.4322967529297,69.45784759521484,329.467529296875
2020-10-13,117.7961196899414,213.683822631836,140.43064880371094,68.26703643798828,327.3173828125
2020-10-14,117.88367462158205,211.7662353515625,140.75192260742188,67.43431091308594,325.2607116699219
2020-10-15,117.416748046875,210.61558532714844,140.50877380371094,67.7840347290039,324.8587646484375
2020-10-16,115.77285766601562,210.61558532714844,140.11807250976562,67.30106353759766,324.6625061035156
2020-10-19,112.81581115722656,205.39959716796875,139.58851623535156,66.2518310546875,319.7264709472656
2020-10-20,114.30406188964844,205.8118438720703,138.26019287109375,66.72648620605469,321.0072021484375
2020-10-21,113.6815414428711,205.9556884765625,137.78269958496094,66.52661895751953,320.3995056152344
2020-10-22,112.59209442138672,206.04196166992188,136.3501434326172,66.51829528808594,322.1571044921875
2020-10-23,111.90145111083984,207.32681274414065,137.18359375,66.91800689697266,323.2508239746094
2020-10-26,111.91117095947266,201.4300079345703,138.4598388671875,65.96036529541016,317.2771301269531
2020-10-27,113.41888427734376,204.46951293945312,139.38885498046875,64.90283203125,316.1834716796875
2020-10-28,108.1662139892578,194.33468627929688,139.51905822753906,63.35394287109375,305.37652587890625
2020-10-29,112.1738052368164,196.29071044921875,138.16464233398438,64.20330810546875,308.4802551269531
2020-10-30,105.89007568359376,194.13336181640625,136.8016357421875,63.778621673583984,305.264404296875
2020-11-02,105.80250549316406,193.99917602539065,137.8263702392578,65.30252838134766,308.6860046386719
2020-11-03,107.42694854736328,197.9303131103516,137.02667236328125,66.55994415283203,314.1361389160156
2020-11-04,111.81390380859376,207.4802398681641,139.99911499023438,66.67652130126953,321.1568603515625
2020-11-05,115.7825927734375,214.0960998535156,140.2425079345703,66.99297332763672,327.420166015625
2020-11-06,115.65105438232422,214.5083923339844,138.5476531982422,66.53496551513672,327.34552001953125
