Date,SPY
2019-09-30,272.1707763671875
2019-10-01,268.9334411621094
2019-10-02,264.18280029296875
2019-10-03,266.3471374511719
2019-10-04,269.9513854980469
2019-10-07,268.7867431640625
2019-10-08,264.6138000488281
2019-10-09,267.126708984375
2019-10-10,268.9334411621094
2019-10-11,271.7214660644531
2019-10-14,271.4188232421875
2019-10-15,274.1058959960937
2019-10-16,273.66571044921875
2019-10-17,274.4728088378906
2019-10-18,273.2713928222656
2019-10-21,275.1239318847656
2019-10-22,274.2251281738281
2019-10-23,275.0230712890625
2019-10-24,275.4724426269531
2019-10-25,276.6004333496094
2019-10-28,278.15948486328125
2019-10-29,278.076904296875
2019-10-30,278.92987060546875
2019-10-31,278.18701171875
2019-11-01,280.7641296386719
2019-11-04,281.8921813964844
2019-11-05,281.580322265625
