Date,MSFT
2019-08-26,128.4109649658203
2019-08-27,128.68592834472656
2019-08-28,128.51527404785156
2019-08-29,130.94219970703125
2019-08-30,130.69577026367188
2019-09-03,128.97035217285156
2019-09-04,130.4777374267578
2019-09-05,132.77198791503906
2019-09-06,131.87130737304688
2019-09-09,130.37342834472656
2019-09-10,129.0082550048828
2019-09-11,129.046142578125
2019-09-12,130.37342834472656
2019-09-13,130.183837890625
2019-09-16,129.2452850341797
2019-09-17,130.2501678466797
2019-09-18,131.32142639160156
2019-09-19,133.73895263671875
2019-09-20,132.19366455078125
2019-09-23,131.90924072265625
2019-09-24,130.24075317382812
2019-09-25,132.11781311035156
2019-09-26,132.28843688964844
2019-09-27,130.572509765625
