Date,AAPL
2019-09-27,52.68974685668945
2019-09-30,53.929813385009766
2019-10-01,54.0791015625
2019-10-02,52.72345733642578
2019-10-03,53.17132568359375
2019-10-04,54.66181182861328
2019-10-07,54.67386245727539
2019-10-08,54.03335189819336
2019-10-09,54.66663360595703
2019-10-10,55.4034538269043
2019-10-11,56.87709426879883
2019-10-14,56.79521560668945
2019-10-15,56.66279220581055
2019-10-16,56.43403625488281
2019-10-17,56.65315628051758
2019-10-18,56.92524719238281
2019-10-21,57.91248321533203
2019-10-22,57.780052185058594
2019-10-23,58.55540084838867
2019-10-24,58.65171813964844
2019-10-25,59.37408447265625
2019-10-28,59.96884536743164
2019-10-29,58.58189010620117
2019-10-30,58.57466125488281
2019-10-31,59.89900588989258
2019-11-01,61.5989875793457
2019-11-04,62.00351333618164
