Date,VNQ
2019-09-27,74.77605438232422
2019-09-30,74.90455627441406
2019-10-01,74.19770050048828
2019-10-02,73.88441467285156
2019-10-03,74.59934997558594
2019-10-04,75.04915618896484
2019-10-07,74.88849639892578
2019-10-08,74.4948959350586
2019-10-09,74.63949584960938
2019-10-10,74.75996398925781
2019-10-11,74.72785949707031
2019-10-14,74.75996398925781
2019-10-15,74.85639190673828
2019-10-16,74.8644027709961
2019-10-17,75.35438537597656
2019-10-18,75.9327621459961
2019-10-21,76.5111083984375
2019-10-22,76.28617858886719
2019-10-23,76.45487213134766
2019-10-24,76.2621078491211
2019-10-25,75.61144256591797
2019-10-28,75.15357971191406
2019-10-29,75.61144256591797
2019-10-30,75.88455963134766
2019-10-31,75.74800109863281
2019-11-01,75.73192596435547
2019-11-04,75.20177459716797
